,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,route_length,ego_vehicle,carla_version,scenario,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
104,63,RouteScenario_63,Completed,route_63_route0_02_09_06_37_05,0,0,0,0,0,0,0,0,0,61.68555879782448,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,21.35000031813979,168.58779764175415,none
105,37,RouteScenario_37,Completed,route_37_route0_02_09_04_46_19,0,0,0,0,0,0,0,0,0,60.903067475394465,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,48.50000072270632,495.2013397216797,none
106,51,RouteScenario_51,Completed,route_51_route0_02_09_05_36_19,0,0,0,0,0,0,0,0,0,60.92792055053716,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,27.950000416487455,164.48420238494873,none
107,54,RouteScenario_54,Completed,route_54_route0_02_09_05_42_26,0,0,0,0,0,0,0,0,0,61.00178018503786,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,24.800000369548798,125.8124647140503,none
108,38,RouteScenario_38,Completed,route_38_route0_02_09_08_02_37,0,0,0,0,0,0,0,0,0,55.19927747263407,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,21.800000324845314,149.69966983795166,none
109,48,RouteScenario_48,Completed,route_48_route0_02_09_08_24_59,0,0,0,0,0,0,0,0,0,55.27290728705631,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,20.000000298023224,130.78818249702454,none
110,29,RouteScenario_29,Completed,route_29_route0_02_09_07_37_57,0,0,0,0,0,0,0,0,0,55.94493792555948,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,19.85000029578805,118.68399691581726,none
111,50,RouteScenario_50,Completed,route_50_route0_02_09_08_31_49,0,0,0,0,0,0,0,0,0,55.2693469423156,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,20.550000306218863,157.97206807136536,none
112,47,RouteScenario_47,Completed,route_47_route0_02_09_08_19_31,0,0,0,0,0,0,0,0,0,55.61009969298386,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,22.100000329315662,154.13111448287964,none
113,62,RouteScenario_62,Completed,route_62_route0_02_09_09_09_28,0,0,0,0,0,0,0,0,0,56.026662986577875,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,24.75000036880374,178.92814326286316,none
114,36,RouteScenario_36,Completed,route_36_route0_02_09_07_54_05,0,0,0,0,0,0,0,0,0,55.24653262480497,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,19.5500002913177,125.41444659233093,none
115,35,RouteScenario_35,Completed,route_35_route0_02_09_07_49_32,0,0,0,0,0,0,0,0,0,55.1791221263788,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,26.50000039488077,138.32819199562073,none
116,70,RouteScenario_70,Completed,route_70_route0_02_09_09_23_13,0,0,0,0,0,0,0,0,0,54.914477604823574,vehicle.bmw.isetta,10,9,100.0,100.0,1.0,120,0,37.40000055730343,339.8840398788452,none
