,Unnamed: 0,route_id,status,basename,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,total_steps,score_composed,score_penalty,score_route,infraction
167,167,RouteScenario_167,Completed,results_TCP,0,0,0,0,0,0,0,0,0,51.05000076070428,186.49533534049988,157.49129412890363,1020,100.0,1.0,100.0,False
168,168,RouteScenario_168,Completed,results_TCP,0,0,0,0,0,0,0,0,0,108.35000161454082,450.0556864738464,105.84117500426734,2166,100.0,1.0,100.0,False
169,169,RouteScenario_169,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,119.05000177398324,420.4742052555084,106.08523701555264,2380,88.27662431012295,1.0,88.27662431012295,route_timeout
170,170,RouteScenario_170,Completed,results_TCP,0,0,0,0,0,0,0,0,0,28.10000041872263,109.0755705833435,133.9996692194524,561,100.0,1.0,100.0,False
171,171,RouteScenario_171,Completed,results_TCP,0,0,0,0,0,0,0,0,0,53.75000080093741,209.1273853778839,188.62217081727417,1074,100.0,1.0,100.0,False
172,172,RouteScenario_172,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,64.05000095441937,240.99061393737796,56.72804923831599,1280,97.29414409202003,1.0,97.29414409202003,route_timeout
173,173,RouteScenario_173,Completed,results_TCP,0,0,0,0,0,0,0,0,0,15.500000230968,70.6418809890747,55.99933212657137,309,100.0,1.0,100.0,False
174,174,RouteScenario_174,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,95.05000141635536,449.8405883312225,77.74474012433396,1900,97.2251638977506,1.0,97.2251638977506,route_timeout
175,175,RouteScenario_175,Failed,results_TCP,0,0,0,0,1,0,0,0,0,0.050000000745058,0.2542037963867187,201.47522325688308,0,0.0,0.7,0.0,red_light
176,176,RouteScenario_176,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,177.0500026382506,702.5366113185883,57.91582883374336,3540,98.54830635481264,1.0,98.54830635481264,route_timeout
177,177,RouteScenario_177,Completed,results_TCP,0,0,0,0,0,0,0,0,0,140.50000209361315,609.9470858573914,233.5059863989048,2809,100.0,1.0,100.0,False
178,178,RouteScenario_178,Completed,results_TCP,0,0,0,0,0,0,0,0,0,79.45000118389726,304.1278657913208,136.38078640210082,1588,100.0,1.0,100.0,False
179,179,RouteScenario_179,Completed,results_TCP,0,0,0,0,0,0,0,0,0,169.45000252500176,715.7946226596832,64.84443288939383,3388,100.0,1.0,100.0,False
180,180,RouteScenario_180,Completed,results_TCP,0,0,0,0,0,0,0,0,0,103.50000154227018,382.8453505039215,147.48200195171145,2069,100.0,1.0,100.0,False
181,181,RouteScenario_181,Failed - Agent got blocked,results_TCP,0,0,0,0,0,0,0,0,1,180.05000268295407,719.0931746959686,217.51892947055245,3600,0.1742981948761061,1.0,0.1742981948761061,vehicle_blocked
182,182,RouteScenario_182,Completed,results_TCP,0,0,0,0,0,0,0,0,0,102.90000153332949,396.07127022743225,190.81640697275637,2057,100.0,1.0,100.0,False
183,183,RouteScenario_183,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,209.05000311508772,777.0329356193542,254.1060713159461,4180,98.04729221436868,1.0,98.04729221436868,route_timeout
184,184,RouteScenario_184,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,168.05000250414014,621.8378405570984,165.2617979987117,3360,98.79958644037671,1.0,98.79958644037671,route_timeout
185,185,RouteScenario_185,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,162.05000241473317,593.1545629501343,149.99601064107898,3240,90.11177823652976,1.0,90.11177823652976,route_timeout
186,186,RouteScenario_186,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,60.05000089481473,239.1544663906097,71.50994652828354,1200,94.25518454383186,1.0,94.25518454383186,route_timeout
